Response number,To what extent fundamentals concepts were covered and doubts were cleared?,Competency of the teacher to deal with the course?,"Is the lecture interactive, are students encouraged to think and raise the Questions, Doubts?",Are homework/assignment given regularly and assessed properly?,"Does the teacher exhibits good Communication, Presentation skill?",Whether Teacher Exhibits Good Behavior and Interaction with Students?,Whether teacher is accessible off classroom hour for counseling and solving Queries?,To what extent are you acquiring the expected skills related to the subject?,How would you rate overall experience in learning this course?,"Suggestions if any, to course teacher for improvement."
1,Mostly:,Always:,Always:,Mostly:,Always:,Mostly:,Always:,Mostly:,Always:,
2,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
3,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,No
4,Always:,Always:,Always:,Mostly:,Always:,Mostly:,Always:,Always:,Always:,
5,Mostly:,Mostly:,Always:,Always:,Always:,Always:,Always:,Mostly:,Mostly:,No
6,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Always:,Always:,Mostly:,Mostly:,
7,At times:,At times:,At times:,At times:,At times:,At times:,Hardly:,At times:,Mostly:,Student interaction
8,At times:,Mostly:,At times:,At times:,Mostly:,At times:,At times:,Mostly:,At times:,
9,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
10,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
11,Always:,Mostly:,Always:,Mostly:,Mostly:,Always:,Always:,Mostly:,Always:,
12,Hardly:,Never:,Hardly:,Never:,Hardly:,Never:,Hardly:,Never:,Hardly:,
13,Always:,Always:,Always:,Mostly:,Always:,Always:,Always:,Mostly:,Mostly:,
14,Mostly:,Always:,Always:,Mostly:,Mostly:,Always:,Always:,Mostly:,Mostly:,No.
15,Mostly:,Mostly:,Mostly:,Mostly:,Always:,Always:,Always:,Always:,Mostly:,No
16,Mostly:,Mostly:,Mostly:,Mostly:,Always:,Always:,Mostly:,Mostly:,Mostly:,
17,Always:,Mostly:,Mostly:,Always:,Always:,Mostly:,Always:,Mostly:,Always:,
18,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,no
19,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
20,Always:,Always:,Mostly:,Mostly:,Always:,Mostly:,Always:,Always:,Mostly:,
21,Mostly:,Always:,Mostly:,Always:,Mostly:,Always:,Mostly:,Always:,Mostly:,
22,Mostly:,Mostly:,Always:,Mostly:,Mostly:,Mostly:,Always:,Mostly:,Mostly:,
23,Always:,Mostly:,Always:,Always:,Always:,Mostly:,Always:,Always:,Mostly:,
24,Mostly:,Mostly:,Always:,Mostly:,Always:,Always:,Always:,Always:,Mostly:,
25,Always:,Mostly:,Always:,Always:,Mostly:,Mostly:,Always:,Mostly:,Mostly:,No
26,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
27,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
28,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
29,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
30,At times:,At times:,At times:,At times:,At times:,At times:,At times:,At times:,At times:,
31,At times:,Mostly:,At times:,Mostly:,At times:,At times:,Mostly:,Mostly:,At times:,
32,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
33,Always:,Always:,Always:,Mostly:,Always:,Always:,Always:,Mostly:,Always:,No
34,Mostly:,Mostly:,At times:,Mostly:,At times:,Mostly:,At times:,Mostly:,At times:,
35,Always:,Mostly:,Mostly:,Always:,Mostly:,Mostly:,Always:,Mostly:,Mostly:,
36,Mostly:,Mostly:,Always:,Mostly:,Always:,Always:,Always:,Always:,Always:,
37,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
38,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,..
39,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
40,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
41,Always:,Always:,Mostly:,Always:,Mostly:,Always:,Always:,Always:,Always:,no
42,Mostly:,Always:,Mostly:,Always:,Always:,Always:,Mostly:,Mostly:,Always:,
43,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Always:,Mostly:,Mostly:,Mostly:,
44,Mostly:,Mostly:,Mostly:,Always:,Always:,Always:,Mostly:,Mostly:,Mostly:,
45,Always:,Always:,Always:,Mostly:,Mostly:,Always:,Always:,Always:,Always:,
46,At times:,At times:,At times:,Mostly:,At times:,At times:,Mostly:,At times:,At times:,
47,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Good
48,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
49,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,Mostly:,
50,Mostly:,At times:,Always:,Mostly:,Always:,Mostly:,Mostly:,Mostly:,Always:,
51,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
52,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,Always:,
53,At times:,At times:,At times:,Mostly:,At times:,Mostly:,At times:,Mostly:,At times:,
54,At times:,Mostly:,At times:,At times:,Mostly:,At times:,At times:,At times:,Mostly:,
